run_prevention_rank,pitcher_name,team,appearances,pitches,runs_allowed,outs_recorded,innings_pitched,runs_per_9,reliability,adjusted_runs_per_9,run_prevention_score
193,"Winn, Keaton",San Francisco Giants,44,648,23,129,43.0,4.813953488372093,0.6875,4.827870074331092,51.704170015349796
194,"Rodriguez, Bradgley",San Diego Padres,52,933,30,168,56.0,4.821428571428571,0.7222222222222222,4.83172245809866,51.63688596106225
195,"De Jesus, Enmanuel",Detroit Tigers,30,669,23,129,43.0,4.813953488372093,0.6,4.831766718399612,51.63611292995432
196,"Hoffman, Jeff",Toronto Blue Jays,51,905,26,145,48.333333333333336,4.841379310344827,0.7183098591549296,4.84619825487893,51.38405800954333
197,"Kelly, Zack",Boston Red Sox,17,283,9,50,16.666666666666668,4.859999999999999,0.4594594594594595,4.859181926184266,51.15729087063203
198,"Franco, Jose",Cincinnati Reds,10,348,11,61,20.33333333333333,4.868852459016394,0.3333333333333333,4.861941861966059,51.109087036285196
199,"Assad, Javier",Chicago Cubs,12,472,17,94,31.33333333333333,4.882978723404256,0.375,4.867671123427153,51.0090222549877
200,"Soriano, George",St. Louis Cardinals,61,1001,32,177,59.0,4.88135593220339,0.7530864197530864,4.875709174484254,50.86863316181244
201,"Pintaro, Jonathan",New York Mets,13,371,12,66,22.0,4.909090909090908,0.3939393939393939,4.878421608696959,50.82125896914881
202,"Sisk, Evan",Pittsburgh Pirates,38,770,23,127,42.333333333333336,4.889763779527558,0.6551724137931034,4.8789785326011215,50.81153197919595
203,"Herrin, Tim",Cleveland Guardians,57,801,26,143,47.66666666666666,4.90909090909091,0.7402597402597403,4.895946923207789,50.515169471295586
204,"Pearson, Nate",Houston Astros,16,348,11,60,20.0,4.95,0.4444444444444444,4.899159201911607,50.45906521280661
205,"Yates, Kirby",Los Angeles Angels,31,472,15,82,27.33333333333333,4.939024390243903,0.6078431372549019,4.907440928752526,50.314420184694384
206,"Schreiber, John",Kansas City Royals,55,839,27,148,49.333333333333336,4.925675675675675,0.7333333333333333,4.907758579079733,50.30887224265389
207,"Garcia, Julian",Cincinnati Reds,25,556,20,109,36.333333333333336,4.954128440366972,0.5555555555555556,4.911620939510936,50.24141394031161
208,"Anderson, Drew",Detroit Tigers,38,965,31,169,56.333333333333336,4.952662721893491,0.6551724137931034,4.920188184496043,50.091782176849875
209,"Fluharty, Mason",Toronto Blue Jays,69,826,28,153,51.0,4.941176470588236,0.7752808988764045,4.9225944689820915,50.04975506175465
210,"Lord, Brad",Washington Nationals,29,1067,34,184,61.333333333333336,4.989130434782609,0.5918367346938775,4.935806405663541,49.81900113936459
211,"Basso, Brady",Athletics,16,324,12,64,21.33333333333333,5.0625,0.4444444444444444,4.949159201911606,49.5857870252338
212,"Klein, Will",Los Angeles Dodgers,33,679,21,113,37.66666666666666,5.017699115044248,0.6226415094339622,4.957618906892038,49.43803350857956
213,"Barnett, Mason",Athletics,14,442,14,74,24.666666666666668,5.108108108108108,0.4117647058823529,4.961271905362686,49.37423183090648
214,"Morgan, Eli",Kansas City Royals,16,339,11,58,19.33333333333333,5.120689655172414,0.4444444444444444,4.975021270877123,49.134091410972005
215,"Castaño, Blas",Colorado Rockies,10,343,12,62,20.666666666666668,5.225806451612902,0.3333333333333333,4.980926526164895,49.030952798274804
216,"Festa, Matt",Cleveland Guardians,58,922,32,172,57.333333333333336,5.023255813953488,0.7435897435897436,4.9810072881810274,49.029542244133346
217,"Quantrill, Cal",Texas Rangers,17,567,19,100,33.333333333333336,5.13,0.4594594594594595,4.9832359802383195,48.99061688092435
218,"Ferguson, Caleb",Cincinnati Reds,25,395,13,69,23.0,5.08695652173913,0.5555555555555556,4.985414318051024,48.95257098298435
219,"Fedde, Erick",Chicago White Sox,16,1053,35,182,60.66666666666666,5.1923076923076925,0.4444444444444444,5.006851509603914,48.578158347265166
220,"Eisert, Brandon",Chicago White Sox,21,411,13,68,22.666666666666668,5.161764705882352,0.5121951219512195,5.013824148593835,48.45637727647082
221,"Aleman, Franco",Cleveland Guardians,18,334,11,57,19.0,5.210526315789474,0.47368421052631576,5.02524223560601,48.256953949839996
222,"Harris, Hogan",Athletics,62,1139,33,175,58.333333333333336,5.091428571428572,0.7560975609756098,5.0346134475291375,48.0932804505682
223,"Johnson, Pierce",Cincinnati Reds,45,649,22,116,38.66666666666666,5.120689655172414,0.6923076923076923,5.040011780793484,47.99899551678815
224,"Smith, Dylan",San Francisco Giants,32,536,17,89,29.666666666666668,5.157303370786517,0.6153846153846154,5.042373829499738,47.957741004525026
225,"Nance, Tommy",Minnesota Twins,16,291,9,46,15.333333333333334,5.282608695652174,0.4444444444444444,5.046985288868128,47.877199266939165
226,"Gordon, Tanner",Colorado Rockies,12,711,29,146,48.66666666666666,5.363013698630137,0.375,5.047684239136858,47.86499170646156
227,"Nance, Tommy",Toronto Blue Jays,32,500,19,99,33.0,5.181818181818183,0.6153846153846154,5.057459867057687,47.69425485379981
228,"Hentges, Sam",San Francisco Giants,40,623,19,99,33.0,5.181818181818183,0.6666666666666666,5.074040975692419,47.40465644387007
229,"Kimbrel, Craig",New York Mets,14,249,9,45,15.0,5.4,0.4117647058823529,5.081462684376995,47.27503211769486
230,"Chivilli, Angel",New York Yankees,15,285,10,50,16.666666666666668,5.4,0.42857142857142855,5.090563750537653,47.11607686645968
231,"Laweryson, Cody",Minnesota Twins,15,296,10,50,16.666666666666668,5.4,0.42857142857142855,5.090563750537653,47.11607686645968
232,"Seymour, Carson",San Francisco Giants,12,338,12,59,19.666666666666668,5.491525423728813,0.375,5.095876136048862,47.02329305864134
233,"Farris, Mitch",Los Angeles Angels,26,797,28,142,47.333333333333336,5.323943661971831,0.5652173913043478,5.121571010436639,46.57451759193595
234,"Rucker, Michael",Seattle Mariners,29,570,19,96,32.0,5.34375,0.5918367346938775,5.145683291200363,46.153383015064115
235,"Poulin, PJ",Washington Nationals,24,406,13,65,21.666666666666668,5.4,0.5454545454545454,5.1538575288367685,46.01061534650593
236,"Shugart, Chase",Philadelphia Phillies,37,746,26,132,44.0,5.318181818181818,0.6491228070175439,5.156885237570967,45.957734706587935
237,"Enns, Dietrich",Baltimore Orioles,13,291,10,48,16.0,5.625,0.3939393939393939,5.160446402085389,45.895536960731874
238,"Stanek, Ryne",St. Louis Cardinals,59,930,31,159,53.0,5.264150943396226,0.7468354430379747,5.161451100369559,45.87798933879873
239,"Nunez, Anthony",Baltimore Orioles,43,856,29,147,49.0,5.326530612244898,0.6825396825396826,5.177945199926166,45.58991059146995
240,"Hanifee, Brenan",Detroit Tigers,21,301,12,59,19.666666666666668,5.491525423728813,0.5121951219512195,5.182725979685925,45.5064115777942
241,"Davila, Nick",Seattle Mariners,23,418,16,79,26.33333333333333,5.468354430379747,0.5348837209302325,5.18469495738493,45.47202227226704
242,"Hart, Kyle",San Diego Padres,34,778,28,140,46.66666666666666,5.4,0.6296296296296297,5.199439467941071,45.214501083164734
243,"Pallette, Peyton",Cleveland Guardians,16,442,13,62,20.666666666666668,5.661290322580645,0.4444444444444444,5.215288234169671,44.93769344621719
244,"Treinen, Blake",Los Angeles Dodgers,29,379,14,69,23.0,5.478260869565218,0.5918367346938775,5.225291765024677,44.76297614032943
245,"Payamps, Joel",Atlanta Braves,12,151,5,23,7.666666666666667,5.869565217391305,0.375,5.237641058672296,44.547288764841475
246,"Mey, Luis",Cincinnati Reds,16,423,14,66,22.0,5.727272727272728,0.4444444444444444,5.244613747366152,44.42550682593988
247,"Nardi, Andrew",Miami Marlins,25,378,14,68,22.666666666666668,5.558823529411764,0.5555555555555556,5.247562655646932,44.37400248036472
248,"Gastelum, Luis",St. Louis Cardinals,21,371,15,72,24.0,5.625,0.5121951219512195,5.251091006556532,44.31237784261559
249,"Yarbrough, Ryan",New York Yankees,31,845,31,151,50.333333333333336,5.543046357615894,0.6078431372549019,5.274591536370795,43.90192784095158
250,"Fairbanks, Pete",Miami Marlins,43,712,24,118,39.333333333333336,5.491525423728813,0.6825396825396826,5.290560706177092,43.62301728764187
251,"Brogdon, Connor",Cleveland Guardians,15,268,10,46,15.333333333333334,5.869565217391305,0.42857142857142855,5.291805986562498,43.60126776368213
252,"Kimbrel, Craig",Tampa Bay Rays,19,343,12,56,18.666666666666668,5.785714285714285,0.48717948717948717,5.310212889676647,43.27978082387507
253,"Bazardo, Eduard",Seattle Mariners,64,993,37,183,61.0,5.459016393442623,0.7619047619047619,5.316033100585067,43.178127559207134
254,"Kranick, Max",Washington Nationals,15,278,11,50,16.666666666666668,5.94,0.42857142857142855,5.321992321966224,43.074046398265494
255,"Sewald, Paul",Arizona Diamondbacks,45,633,24,117,39.0,5.538461538461538,0.6923076923076923,5.329238469224416,42.947488351375114
256,"Cornelio, Riley",Washington Nationals,11,410,14,60,20.0,6.3,0.3548387096774194,5.369991331252187,42.23571664157477
257,"Hernández, Jonathan",Los Angeles Dodgers,16,418,17,76,25.33333333333333,6.039473684210526,0.4444444444444444,5.383369728227395,42.00205539631199
258,"Sulser, Cole",Tampa Bay Rays,39,721,27,128,42.66666666666666,5.6953125,0.6610169491525424,5.411642690996913,41.50825216261842
259,"Slaten, Justin",Boston Red Sox,36,508,20,94,31.33333333333333,5.74468085106383,0.6428571428571429,5.428182891198495,41.21936824153583
260,"Weissert, Greg",Boston Red Sox,54,840,32,153,51.0,5.647058823529411,0.7297297297297297,5.4339311856676495,41.11897103802267
261,"Roycroft, Chris",Tampa Bay Rays,11,289,14,58,19.33333333333333,6.517241379310345,0.3548387096774194,5.447076981975213,40.88937229454926
262,"Roberts, Ethan",Chicago Cubs,23,437,17,77,25.666666666666668,5.961038961038961,0.5348837209302325,5.448223892388696,40.869340857605366
263,"Suter, Brent",Los Angeles Angels,38,978,37,173,57.66666666666666,5.77456647398844,0.6551724137931034,5.458676849661699,40.68677406596248
264,"Wolfram, Grant",Baltimore Orioles,49,719,26,123,41.0,5.7073170731707314,0.7101449275362319,5.461279244263531,40.64132177713773
265,"Mears, Nick",Kansas City Royals,21,344,13,58,19.33333333333333,6.051724137931035,0.5121951219512195,5.469657028423647,40.49499905379329
266,"Foley, Jason",San Francisco Giants,14,229,10,42,14.0,6.428571428571429,0.4117647058823529,5.5049920961417005,39.8778521759016
267,"Phillips, Evan",Los Angeles Dodgers,22,308,12,53,17.666666666666668,6.113207547169811,0.5238095238095238,5.515721364441754,39.69045945640053
268,"Faucher, Calvin",Miami Marlins,57,978,36,169,56.333333333333336,5.751479289940828,0.7402597402597403,5.519533127213572,39.623884870703925
269,"Myers, Tobias",New York Mets,23,623,28,124,41.333333333333336,6.096774193548387,0.5348837209302325,5.520826458614668,39.601296108666325
270,"Schultz, Paxton",Washington Nationals,26,586,21,94,31.33333333333333,6.031914893617022,0.5652173913043478,5.521728663105661,39.58553859861204
271,"Halvorsen, Seth",Colorado Rockies,21,379,13,57,19.0,6.157894736842105,0.5121951219512195,5.524037091280537,39.545220599158085
272,"Black, Mason",Kansas City Royals,17,557,22,94,31.33333333333333,6.319148936170213,0.4594594594594595,5.529601707667878,39.448031436892585
273,"Manaea, Sean",New York Mets,14,776,31,129,43.0,6.488372093023255,0.4117647058823529,5.529615899151276,39.44778357463456
